"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"Lenovo","A6-9225","AMD","A6-9225 Processor","10th","4 GB GB","DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","Missing",0,"No","No",249.9,327.9,23,3.7,63,12
"Lenovo","Ideapad","AMD","APU Dual","10th","4 GB GB","DDR4","0 GB","512 GB","Windows","64-bit",0,"Casual","Missing",0,"No","No",195.9,213.25,8,3.6,1894,256
"Avita","PURA","AMD","APU Dual","10th","4 GB GB","DDR4","128 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",0,"No","No",199.9,279.9,28,3.7,1153,159
"Avita","PURA","AMD","APU Dual","10th","4 GB GB","DDR4","128 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",0,"No","No",214.9,279.9,23,3.7,1153,159
"Avita","PURA","AMD","APU Dual","10th","4 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",0,"No","No",249.9,334.9,25,3.7,1657,234
"Avita","PURA","AMD","APU Dual","10th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",249.9,334.9,25,3.7,1657,234
"HP","APU","AMD","APU Dual","10th","4 GB GB","DDR4","0 GB","1024 GB","Windows","32-bit",0,"Casual","14",0,"No","No",209,228.25,8,3.9,1185,141
"acer","Aspire","AMD","Athlon Dual","10th","4 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","No",319.9,369.9,13,4.2,76,13
"Lenovo","Missing","Intel","Core i3","10th","4 GB GB","DDR4","0 GB","1024 GB","Windows","64-bit",0,"Casual","Missing",0,"No","No",389.99,427.05,8,3.8,65,5
"Lenovo","v15","Intel","Core i3","10th","4 GB GB","DDR4","0 GB","1024 GB","Windows","64-bit",0,"Casual","15.6",0,"No","No",399.99,439.99,9,3.1,8,1
"ASUS","EeeBook","Intel","Celeron Dual","Missing","4 GB GB","DDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","Missing",0,"No","No",219.9,259.9,15,3.5,31,3
"acer","Aspire","AMD","Ryzen","10th","4 GB GB","DDR4","0 GB","512 GB","Windows","32-bit",4,"Casual","Missing",0,"No","No",549.9,890,38,4.5,3190,414
"acer","Nitro","AMD","Ryzen 5","10th","4 GB GB","DDR4","0 GB","512 GB","Windows","32-bit",4,"Casual","Missing",0,"No","No",599.9,999.99,40,4.5,1946,240
"acer","Nitro","AMD","Ryzen 5","10th","4 GB GB","DDR4","0 GB","512 GB","Windows","32-bit",6,"Casual","Missing",0,"No","No",937,1390,32,4.5,259,47
"acer","Nitro","AMD","Ryzen 5","10th","4 GB GB","DDR4","0 GB","512 GB","Windows","32-bit",4,"Casual","Missing",0,"No","No",729.9,999.99,27,4.5,425,67
"Avita","Cosmos","Intel","Celeron Dual","Missing","4 GB GB","DDR4","0 GB","512 GB","Windows","64-bit",0,"Casual","Missing",0,"No","No",174.9,234.9,25,3.6,1120,196
"Lenovo","IdeaPad","Intel","Celeron Dual","Missing","4 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",319.99,389.99,17,4,286,19
"HP","Celeron","Intel","Celeron Dual","Missing","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",324.9,392.88,17,4,58,6
"ASUS","Celeron","Intel","Celeron Dual","Missing","4 GB GB","DDR4","0 GB","1024 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",239.9,269.9,11,3.8,15279,1947
"ASUS","Missing","Intel","Core i3","11th","4 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",344.29,499.9,31,4.1,37,6
"Lenovo","IdeaPad","Intel","Core i3","10th","8 GB GB","DDR4","256 GB","0 GB","Windows","32-bit",0,"ThinNlight","15.6",2,"No","Yes",379.9,579.9,34,4.3,2080,235
"ASUS","VivoBook","Intel","Core i3","11th","4 GB GB","DDR4","256 GB","0 GB","Windows","32-bit",0,"Casual","15.6",1,"No","Yes",359.9,499.9,28,4.3,1479,181
"ASUS","VivoBook","Intel","Core i3","10th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",339.8,469.9,27,4.4,67,3
"HP","Missing","Intel","Core i3","11th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",399.9,500.85,20,4.2,273,30
"DELL","Vostro","Intel","Core i3","10th","8 GB GB","DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",394.9,433.12,8,4.3,1267,171
